Buyer_ID,Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
EV03020,25,Female,87961.0,Urban,11.5,2,SUV,5,16,No,2.0,Yes,Medium,No
EV03021,35,Female,36253.0,Urban,20.0,4,Hatchback,5,15,Yes,,Yes,Low,No
EV03022,69,Male,57207.0,Suburban,61.1,4,Hatchback,1,6,Yes,4.0,Yes,Low,No
EV03023,61,Male,89893.0,Suburban,50.2,2,Sedan,4,9,Yes,3.0,No,Low,No
EV03024,36,Male,120207.0,Suburban,54.8,2,Sedan,1,5,Yes,4.0,Yes,Low,Yes
EV03025,55,Female,30504.0,Urban,,1,SUV,8,16,No,2.0,Yes,Low,No
EV03026,30,Male,131068.0,Suburban,34.6,3,SUV,7,4,No,2.0,Yes,Medium,No
EV03027,54,Male,83960.0,Suburban,40.8,3,Sedan,7,4,Yes,2.0,Yes,Low,No
EV03028,48,Female,90446.0,Urban,35.4,1,Sedan,10,7,No,2.0,No,Low,No
EV03029,28,Female,44570.0,Suburban,41.9,1,SUV,6,2,Yes,4.0,Yes,Low,Yes
EV03030,35,Male,46215.0,Rural,42.7,1,Sedan,2,0,Yes,4.0,No,Low,No
EV03031,29,Male,66344.0,Suburban,5.2,1,Sedan,2,5,Yes,3.0,Yes,Low,No
EV03032,41,Female,97082.0,Suburban,49.4,2,Hatchback,2,9,Yes,1.0,Yes,Low,No
EV03033,44,Male,142466.0,Suburban,67.1,1,Hatchback,0,7,Yes,4.0,Yes,Low,Yes
EV03034,28,Male,79449.0,Urban,33.2,2,Sedan,3,4,Yes,1.0,No,Low,No
EV03035,31,Male,78292.0,Suburban,79.0,2,Sedan,5,4,Yes,2.0,No,Low,No
EV03036,57,Male,84229.0,Suburban,48.8,1,Sedan,4,9,No,2.0,Yes,Low,No
EV03037,62,Female,107799.0,Urban,58.5,1,SUV,9,16,Yes,1.0,Yes,Low,No
EV03038,52,Female,42155.0,Suburban,50.8,3,SUV,0,4,Yes,5.0,Yes,Low,Yes
EV03039,36,Female,75830.0,Suburban,50.8,2,Sedan,1,1,Yes,1.0,Yes,Low,No
EV03040,66,Male,72270.0,Suburban,5.0,1,Hatchback,6,3,Yes,1.0,Yes,Low,No
EV03041,37,Female,90702.0,Urban,29.3,2,Sedan,8,4,Yes,2.0,No,Low,No
EV03042,28,Male,167185.0,Urban,67.1,2,Sedan,2,12,Yes,2.0,Yes,Low,Yes
EV03043,59,Female,85454.0,Urban,54.0,2,Sedan,14,10,No,1.0,No,Low,No
EV03044,68,Male,56168.0,Suburban,18.5,1,SUV,6,6,No,4.0,Yes,Medium,No
EV03045,28,Female,74927.0,Suburban,67.3,2,Sedan,3,9,Yes,3.0,No,Low,No
EV03046,66,Female,115809.0,Urban,37.4,1,SUV,7,5,Yes,5.0,No,Low,Yes
EV03047,47,Female,79363.0,Suburban,15.9,1,Sedan,3,2,Yes,5.0,No,Low,No
EV03048,40,Other,45431.0,Urban,47.1,2,Sedan,14,14,No,5.0,Yes,Low,No
EV03049,49,Female,118170.0,Urban,45.1,1,Truck,4,4,No,2.0,No,Low,No
EV03050,45,Female,71018.0,Suburban,25.1,1,Sedan,6,6,Yes,1.0,No,Low,No
EV03051,32,Male,58534.0,Suburban,59.7,3,SUV,6,9,Yes,2.0,No,Low,No
EV03052,51,Female,130815.0,Urban,53.1,3,SUV,5,11,Yes,2.0,Yes,Low,Yes
EV03053,27,Female,79672.0,Urban,86.7,2,Sedan,12,7,No,5.0,No,Medium,No
EV03054,52,Female,98064.0,Urban,44.3,4,SUV,10,14,No,3.0,No,Low,No
EV03055,69,Other,147643.0,Urban,27.0,2,Sedan,6,5,No,2.0,No,Low,No
EV03056,37,Male,30000.0,Urban,59.8,3,Sedan,11,9,Yes,1.0,Yes,Low,No
EV03057,52,Male,49136.0,Urban,50.8,3,Sedan,13,18,Yes,4.0,No,Low,No
EV03058,27,Female,103281.0,Suburban,17.1,2,SUV,1,2,Yes,5.0,No,Low,No
EV03059,56,Male,106206.0,Rural,28.9,2,Hatchback,2,1,Yes,2.0,Yes,Low,No
EV03060,35,Female,102773.0,Rural,34.1,2,Sedan,1,0,Yes,4.0,Yes,Low,Yes
EV03061,27,Male,60467.0,Urban,24.7,1,Sedan,11,13,No,4.0,Yes,Medium,No
EV03062,27,Female,143947.0,Urban,45.8,3,SUV,14,14,No,5.0,Yes,Low,Yes
EV03063,45,Female,101494.0,Rural,56.6,2,SUV,0,3,Yes,3.0,Yes,Low,No
EV03064,29,Female,40065.0,Suburban,21.9,2,SUV,2,7,Yes,3.0,No,Low,No
EV03065,40,Female,82483.0,Urban,63.3,2,Hatchback,6,3,No,5.0,No,Medium,No
EV03066,66,Male,50716.0,Suburban,16.8,2,SUV,2,3,Yes,2.0,Yes,Low,No
EV03067,52,Male,32084.0,Suburban,43.3,1,Sedan,6,5,No,1.0,No,Medium,No
EV03068,26,Female,46345.0,Urban,22.9,2,Sedan,3,16,Yes,3.0,Yes,Low,No
EV03069,32,Male,127283.0,Urban,81.0,2,Sedan,13,19,Yes,1.0,Yes,Low,No
EV03070,41,Other,139464.0,Suburban,73.1,3,Hatchback,3,3,Yes,4.0,No,Low,No
EV03071,48,Female,66751.0,Urban,42.5,1,SUV,4,8,Yes,4.0,Yes,Low,Yes
EV03072,47,Female,117572.0,Rural,57.1,1,Sedan,2,3,Yes,4.0,Yes,Low,Yes
EV03073,36,Female,56416.0,Urban,104.3,1,Sedan,10,16,No,1.0,No,Medium,No
EV03074,57,Female,77007.0,Suburban,37.7,1,Hatchback,2,9,Yes,4.0,Yes,Low,No
EV03075,42,Female,106309.0,Suburban,12.7,2,Hatchback,0,5,Yes,4.0,Yes,Low,Yes
EV03076,51,Male,113038.0,Suburban,12.0,1,Sedan,4,3,Yes,3.0,No,Low,No
EV03077,29,Male,67918.0,Suburban,37.2,1,Sedan,3,7,Yes,4.0,Yes,Low,Yes
EV03078,27,Female,144851.0,Suburban,8.9,2,Sedan,4,4,Yes,2.0,No,Low,No
EV03079,65,Male,74366.0,Urban,61.3,4,Truck,3,10,No,5.0,No,Medium,No
EV03080,66,Female,64097.0,Suburban,,1,SUV,6,9,Yes,4.0,No,Low,No
EV03081,44,Female,87061.0,Urban,25.2,2,SUV,7,6,Yes,1.0,No,Low,No
EV03082,63,Male,87833.0,Urban,47.9,2,SUV,3,6,No,2.0,Yes,Medium,No
EV03083,66,Female,93856.0,Suburban,70.0,2,Sedan,5,1,Yes,5.0,No,Low,No
EV03084,56,Male,41379.0,Urban,55.2,2,Sedan,8,12,Yes,4.0,No,Low,No
EV03085,58,Female,138227.0,Urban,53.6,1,Hatchback,14,6,No,2.0,No,Low,No
EV03086,57,Female,30000.0,Rural,56.6,2,Sedan,0,3,Yes,3.0,Yes,Low,No
EV03087,52,Female,79087.0,Suburban,24.4,2,Sedan,1,2,Yes,3.0,Yes,Low,No
EV03088,38,Female,30000.0,Suburban,37.1,2,SUV,7,5,Yes,3.0,No,Low,No
EV03089,64,Female,101062.0,Rural,39.0,2,Sedan,1,0,Yes,5.0,Yes,Low,Yes
EV03090,46,Female,87953.0,Urban,26.8,2,Sedan,13,4,No,3.0,No,Low,No
EV03091,63,Other,80142.0,Urban,20.1,2,Sedan,10,18,No,4.0,No,Low,No
EV03092,25,Female,98495.0,Urban,56.8,2,Truck,7,10,No,4.0,No,Low,No
EV03093,26,Female,97250.0,Suburban,5.0,1,Hatchback,5,1,No,1.0,Yes,Low,No
EV03094,36,Male,80186.0,Suburban,47.2,3,SUV,3,8,Yes,1.0,No,Low,No
EV03095,33,Male,87658.0,Rural,31.3,2,SUV,2,3,No,3.0,Yes,High,No
EV03096,30,Male,42518.0,Suburban,83.7,1,Hatchback,1,4,Yes,1.0,Yes,Low,No
EV03097,30,Male,,Urban,48.0,3,SUV,4,17,No,3.0,No,Low,No
EV03098,29,Female,89877.0,Urban,36.1,1,Truck,2,7,Yes,2.0,Yes,Low,No
EV03099,55,Male,85102.0,Rural,21.2,1,SUV,1,1,No,1.0,Yes,Low,No
EV03100,42,Male,75544.0,Urban,31.7,1,Sedan,9,16,No,4.0,No,Low,No
EV03101,60,Male,110640.0,Urban,24.4,2,SUV,12,14,No,1.0,Yes,Low,Yes
EV03102,25,Female,61845.0,Rural,38.7,4,Truck,0,2,No,2.0,No,High,No
EV03103,48,Male,83633.0,Rural,81.5,4,SUV,0,1,Yes,5.0,Yes,Low,Yes
EV03104,33,Male,52615.0,Suburban,70.1,4,SUV,1,3,Yes,3.0,Yes,Low,No
EV03105,65,Male,94032.0,Suburban,95.5,1,Sedan,4,8,No,1.0,No,High,No
EV03106,39,Male,139318.0,Urban,5.0,1,Sedan,5,3,Yes,5.0,No,Low,No
EV03107,32,Male,107330.0,Urban,59.0,2,Sedan,9,9,Yes,3.0,No,Low,No
EV03108,57,Female,83953.0,Suburban,64.6,1,Sedan,0,3,Yes,1.0,Yes,Low,No
EV03109,57,Male,74382.0,Suburban,72.2,1,Hatchback,4,3,Yes,1.0,No,Low,No
EV03110,63,Male,87504.0,Urban,19.5,2,Sedan,2,15,No,2.0,Yes,Low,No
EV03111,41,Female,57450.0,Suburban,45.8,3,Sedan,0,8,No,2.0,Yes,Low,No
EV03112,31,Female,64788.0,Suburban,33.9,2,Truck,5,9,Yes,3.0,Yes,Low,No
EV03113,43,Female,150235.0,Urban,38.0,1,SUV,5,10,No,3.0,No,Low,Yes
EV03114,28,Male,70387.0,Suburban,37.1,1,SUV,3,4,No,3.0,No,Medium,No
EV03115,43,Male,85512.0,Urban,24.6,2,SUV,10,14,Yes,4.0,Yes,Low,Yes
EV03116,67,Female,103219.0,Suburban,41.8,2,Sedan,3,5,Yes,2.0,No,Low,No
EV03117,60,Male,41018.0,Suburban,32.5,1,SUV,2,1,Yes,5.0,No,Low,No
EV03118,55,Male,52411.0,Urban,71.0,3,SUV,11,13,No,2.0,Yes,Low,No
EV03119,53,Male,88795.0,Urban,26.8,2,Sedan,3,9,No,5.0,No,Low,No
EV03120,34,Female,64019.0,Rural,53.3,1,SUV,1,0,Yes,3.0,Yes,Low,No
EV03121,69,Male,104546.0,Rural,77.8,3,SUV,1,3,No,3.0,No,High,No
EV03122,37,Male,30000.0,Urban,31.0,2,Truck,12,14,No,3.0,Yes,Low,No
EV03123,52,Female,108147.0,Urban,24.7,1,Sedan,6,9,Yes,4.0,No,Low,No
EV03124,29,Female,78122.0,Urban,45.7,1,Sedan,8,15,No,3.0,Yes,Low,No
EV03125,43,Female,65211.0,Suburban,22.9,2,SUV,7,7,No,2.0,No,Low,No
EV03126,68,Male,67118.0,Urban,49.6,1,Truck,11,18,No,1.0,Yes,Low,No
EV03127,62,Male,105863.0,Rural,26.8,4,Sedan,0,0,No,2.0,Yes,Medium,No
EV03128,66,Male,30000.0,Urban,36.9,1,Sedan,6,8,No,2.0,Yes,Medium,No
EV03129,45,Female,110100.0,Urban,56.0,3,Sedan,4,12,Yes,3.0,No,Low,No
EV03130,40,Male,124146.0,Urban,61.4,2,Sedan,10,8,No,4.0,No,Low,No
EV03131,57,Male,141358.0,Urban,87.0,3,Sedan,11,10,No,3.0,Yes,Low,Yes
EV03132,59,Male,85040.0,Suburban,7.3,1,SUV,3,4,Yes,5.0,Yes,Low,No
EV03133,64,Male,71259.0,Urban,34.6,1,Truck,2,4,No,1.0,No,Medium,No
EV03134,44,Female,101882.0,Rural,5.0,2,Sedan,2,1,No,2.0,Yes,Low,No
EV03135,47,Male,30000.0,Rural,24.0,3,Truck,0,0,Yes,1.0,Yes,Low,No
EV03136,65,Male,,Urban,39.7,2,Hatchback,13,16,No,5.0,Yes,Low,Yes
EV03137,54,Female,67839.0,Urban,6.6,2,Sedan,13,14,Yes,1.0,Yes,Low,No
EV03138,61,Female,57433.0,Suburban,23.6,3,SUV,6,9,Yes,1.0,Yes,Low,No
EV03139,50,Female,157600.0,Suburban,50.4,3,SUV,0,3,Yes,1.0,Yes,Low,No
EV03140,25,Female,107731.0,Suburban,,1,SUV,4,9,Yes,1.0,Yes,Low,Yes
EV03141,60,Male,30000.0,Suburban,60.8,1,Sedan,5,4,Yes,3.0,Yes,Low,No
EV03142,56,Female,128183.0,Urban,23.9,3,Hatchback,9,7,Yes,5.0,Yes,Low,Yes
EV03143,49,Female,101411.0,Suburban,61.9,3,Hatchback,4,4,No,1.0,No,Medium,No
EV03144,66,Female,110725.0,Rural,28.9,3,Hatchback,0,3,Yes,5.0,Yes,Low,Yes
EV03145,55,Male,111355.0,Suburban,17.3,2,Sedan,5,3,Yes,4.0,No,Low,No
EV03146,69,Female,61726.0,Suburban,50.5,1,SUV,3,7,Yes,2.0,Yes,Low,No
EV03147,43,Female,65925.0,Suburban,11.1,3,SUV,3,9,No,2.0,No,Low,No
EV03148,67,Female,137301.0,Urban,52.5,1,Sedan,5,19,No,3.0,No,Low,No
EV03149,67,Female,84440.0,Urban,59.6,3,Sedan,5,13,Yes,2.0,Yes,Low,No
EV03150,27,Other,115709.0,Suburban,32.0,1,SUV,3,3,No,1.0,Yes,High,No
EV03151,66,Male,62118.0,Suburban,70.5,1,SUV,0,4,Yes,4.0,Yes,Low,Yes
EV03152,35,Male,69396.0,Urban,47.8,1,Hatchback,11,10,No,5.0,No,Low,No
EV03153,48,Female,78124.0,Suburban,32.9,1,Hatchback,7,2,No,2.0,No,Low,No
EV03154,38,Female,56563.0,Rural,39.4,2,Truck,0,0,Yes,4.0,No,Low,No
EV03155,51,Male,128352.0,Urban,76.7,1,Sedan,13,5,No,,Yes,Medium,No
EV03156,35,Male,123268.0,Urban,6.9,2,SUV,7,3,No,5.0,No,Low,No
EV03157,61,Male,73808.0,Urban,5.6,2,Sedan,4,15,No,1.0,Yes,Low,No
EV03158,42,Female,109475.0,Rural,5.0,1,SUV,2,2,Yes,1.0,Yes,Low,No
EV03159,29,Female,86306.0,Suburban,34.7,3,SUV,0,9,Yes,5.0,Yes,Low,Yes
EV03160,61,Male,72421.0,Urban,37.5,1,Hatchback,11,9,Yes,3.0,No,Low,No
EV03161,25,Male,58555.0,Rural,71.9,2,SUV,1,0,Yes,1.0,Yes,Low,No
EV03162,28,Female,72804.0,Suburban,40.2,3,Truck,1,8,Yes,3.0,Yes,Low,No
EV03163,54,Male,,Suburban,22.2,2,SUV,4,3,Yes,5.0,Yes,Low,No
EV03164,27,Male,56509.0,Rural,27.8,1,Sedan,0,2,Yes,1.0,No,Low,No
EV03165,55,Male,118089.0,Urban,5.0,3,SUV,6,12,Yes,4.0,No,Low,No
EV03166,55,Male,116889.0,Urban,111.5,1,SUV,3,4,No,4.0,No,High,No
EV03167,41,Other,122303.0,Urban,37.7,4,Sedan,7,14,No,4.0,Yes,Medium,No
EV03168,31,Male,37639.0,Suburban,88.0,1,Sedan,3,1,Yes,2.0,Yes,Low,No
EV03169,40,Male,108883.0,Suburban,38.6,2,Truck,4,5,Yes,1.0,Yes,Low,No
EV03170,61,Male,109917.0,Suburban,75.8,3,Sedan,6,3,Yes,4.0,No,Low,No
EV03171,58,Female,97379.0,Suburban,42.7,2,SUV,1,4,Yes,3.0,Yes,Low,Yes
EV03172,63,Male,90950.0,Urban,23.4,1,Hatchback,9,19,No,5.0,Yes,Low,Yes
EV03173,37,Male,81271.0,Urban,45.6,2,Sedan,11,13,Yes,3.0,No,Low,No
EV03174,50,Male,113232.0,Suburban,27.7,1,SUV,5,1,Yes,4.0,No,Low,No
EV03175,54,Female,105194.0,Rural,31.4,2,Sedan,2,1,Yes,4.0,Yes,Low,No
EV03176,32,Female,99914.0,Urban,13.3,2,SUV,5,7,No,1.0,Yes,Low,No
EV03177,52,Female,93232.0,Urban,61.2,1,Truck,12,14,No,1.0,Yes,Low,No
EV03178,42,Female,69726.0,Suburban,36.5,1,Sedan,1,1,No,3.0,No,High,No
EV03179,69,Male,79524.0,Suburban,56.5,2,SUV,7,3,Yes,5.0,Yes,Low,Yes
EV03180,38,Male,30000.0,Urban,43.2,1,SUV,2,10,Yes,5.0,Yes,Low,Yes
EV03181,50,Female,104179.0,Suburban,15.5,1,Hatchback,3,6,Yes,2.0,No,Low,No
EV03182,49,Female,92697.0,Urban,43.4,2,Sedan,8,13,No,3.0,Yes,Low,No
EV03183,47,Female,90669.0,Suburban,50.9,3,Sedan,7,9,Yes,2.0,No,Low,No
EV03184,29,Male,63985.0,Suburban,10.1,1,SUV,1,6,Yes,3.0,Yes,Low,Yes
EV03185,29,Female,76452.0,Suburban,5.0,2,Truck,4,2,Yes,,Yes,Low,No
EV03186,35,Female,121232.0,Urban,9.5,1,SUV,9,16,Yes,5.0,Yes,Low,Yes
EV03187,34,Female,41026.0,Urban,68.7,2,SUV,7,15,No,5.0,No,Low,No
EV03188,65,Male,34781.0,Suburban,60.2,2,SUV,5,1,Yes,5.0,No,Low,No
EV03189,41,Male,78571.0,Urban,52.2,1,Sedan,5,6,Yes,3.0,No,Low,No
EV03190,57,Female,59262.0,Rural,56.0,1,Truck,1,3,Yes,5.0,Yes,Low,No
EV03191,67,Female,,Urban,66.2,2,SUV,10,15,No,2.0,No,Medium,No
EV03192,67,Other,81110.0,Rural,32.6,2,Truck,0,1,Yes,3.0,Yes,Low,No
EV03193,49,Male,98725.0,Urban,39.8,1,Sedan,3,12,No,5.0,Yes,Low,Yes
EV03194,60,Male,30000.0,Urban,19.5,1,SUV,6,16,Yes,4.0,No,Low,No
EV03195,52,Male,140649.0,Suburban,49.5,3,Truck,3,2,No,4.0,Yes,Medium,Yes
EV03196,48,Female,91813.0,Urban,35.3,1,SUV,7,17,No,3.0,No,Low,No
EV03197,29,Male,75255.0,Urban,46.9,1,SUV,4,8,No,4.0,No,Low,No
EV03198,36,Female,91446.0,Rural,76.9,3,Sedan,0,1,No,1.0,Yes,High,No
EV03199,51,Male,65823.0,Urban,18.9,2,Hatchback,5,12,No,2.0,No,Low,No
EV03200,59,Male,118481.0,Suburban,45.1,4,Sedan,4,4,Yes,4.0,No,Low,No
EV03201,53,Male,151014.0,Urban,37.5,1,SUV,10,13,No,1.0,Yes,Low,No
EV03202,42,Female,109719.0,Suburban,55.4,1,SUV,3,4,Yes,3.0,Yes,Low,Yes
EV03203,57,Male,127899.0,Urban,5.0,1,Truck,2,14,Yes,2.0,No,Low,No
EV03204,29,Female,69435.0,Suburban,79.1,1,Hatchback,2,9,Yes,5.0,No,Low,No
EV03205,42,Female,83363.0,Urban,28.4,2,Sedan,3,19,No,1.0,No,Low,No
EV03206,51,Male,34515.0,Suburban,59.8,1,Hatchback,3,7,Yes,2.0,No,Low,No
EV03207,39,Male,42588.0,Urban,25.3,1,Sedan,3,19,No,5.0,Yes,Low,No
EV03208,35,Male,60770.0,Urban,52.2,1,SUV,6,12,No,4.0,Yes,Low,No
EV03209,49,Female,57432.0,Urban,73.5,3,Truck,8,15,Yes,3.0,No,Low,No
EV03210,43,Male,75370.0,Urban,63.9,1,SUV,5,19,No,1.0,Yes,Low,No
EV03211,40,Male,117097.0,Urban,43.3,1,SUV,11,6,No,2.0,Yes,Medium,No
EV03212,51,Female,81771.0,Urban,63.7,1,Sedan,4,3,Yes,5.0,Yes,Low,Yes
EV03213,28,Male,117267.0,Urban,28.3,2,SUV,6,3,Yes,1.0,Yes,Low,No
EV03214,42,Female,32578.0,Suburban,23.5,2,Sedan,6,9,Yes,1.0,Yes,Low,No
EV03215,45,Male,204784.0,Urban,62.0,1,Sedan,5,4,Yes,1.0,Yes,Low,Yes
EV03216,28,Male,78074.0,Urban,79.0,2,Sedan,14,3,No,1.0,Yes,High,No
EV03217,69,Male,93084.0,Suburban,5.0,1,SUV,1,2,Yes,4.0,Yes,Low,Yes
EV03218,52,Male,124296.0,Urban,41.4,2,Sedan,10,11,Yes,3.0,Yes,Low,Yes
EV03219,41,Female,93314.0,Suburban,61.6,1,SUV,1,7,Yes,1.0,Yes,Low,Yes
EV03220,34,Female,61973.0,Rural,16.2,3,Sedan,2,2,Yes,3.0,Yes,Low,No
EV03221,51,Male,101113.0,Suburban,11.3,3,Sedan,1,8,Yes,3.0,Yes,Low,Yes
EV03222,64,Male,30000.0,Suburban,43.7,1,SUV,0,6,Yes,3.0,Yes,Low,No
EV03223,56,Male,111033.0,Urban,42.7,1,Sedan,3,19,Yes,4.0,Yes,Low,Yes
EV03224,57,Male,68930.0,Urban,54.9,3,Hatchback,3,7,No,3.0,Yes,Medium,No
EV03225,26,Female,137733.0,Suburban,50.4,1,SUV,4,9,Yes,3.0,Yes,Low,Yes
EV03226,42,Female,42027.0,Suburban,24.4,1,Hatchback,3,6,Yes,2.0,Yes,Low,No
EV03227,47,Male,80437.0,Rural,38.6,1,SUV,2,0,Yes,5.0,No,Low,No
EV03228,48,Female,103351.0,Rural,70.7,1,SUV,2,2,No,3.0,No,Medium,No
EV03229,47,Male,81876.0,Suburban,75.9,2,SUV,0,1,Yes,3.0,Yes,Medium,No
EV03230,48,Male,69022.0,Rural,,4,Sedan,2,2,Yes,1.0,No,Low,No
EV03231,42,Male,89543.0,Suburban,5.0,1,Hatchback,2,4,Yes,2.0,Yes,Low,No
EV03232,50,Female,127633.0,Urban,40.7,3,Sedan,5,4,Yes,1.0,No,Low,No
EV03233,51,Female,57974.0,Rural,27.1,3,Hatchback,1,3,Yes,3.0,Yes,Low,No
EV03234,67,Male,37942.0,Urban,15.0,2,SUV,3,5,No,3.0,Yes,Low,No
EV03235,64,Female,70922.0,Rural,49.1,3,SUV,1,3,Yes,5.0,Yes,Low,Yes
EV03236,25,Female,57308.0,Suburban,70.1,1,Hatchback,6,5,Yes,1.0,No,Low,No
EV03237,36,Male,78447.0,Urban,66.0,2,Sedan,6,11,No,3.0,No,Medium,No
EV03238,41,Male,109797.0,Urban,55.1,1,Hatchback,3,10,Yes,1.0,Yes,Low,No
EV03239,35,Male,121716.0,Suburban,56.9,2,Hatchback,7,6,Yes,5.0,No,Low,Yes
EV03240,27,Male,61366.0,Urban,58.1,2,SUV,8,3,No,1.0,Yes,Medium,No
EV03241,54,Male,103507.0,Urban,25.0,2,SUV,7,8,Yes,3.0,No,Low,No
EV03242,52,Male,43011.0,Urban,49.0,4,Hatchback,7,12,No,1.0,No,Low,No
EV03243,66,Male,97980.0,Urban,31.5,2,Sedan,11,19,No,5.0,No,Low,No
EV03244,27,Other,87070.0,Urban,23.3,3,Sedan,3,8,No,4.0,Yes,Low,No
EV03245,51,Male,101793.0,Rural,10.2,1,SUV,2,0,Yes,3.0,Yes,Low,No
EV03246,61,Male,53776.0,Urban,45.7,1,Truck,4,14,Yes,5.0,No,Low,Yes
EV03247,69,Male,73212.0,Suburban,54.2,2,SUV,7,8,Yes,4.0,Yes,Low,No
EV03248,35,Male,131181.0,Suburban,65.5,4,Sedan,1,1,Yes,4.0,Yes,Low,Yes
EV03249,47,Male,76366.0,Urban,24.4,1,Hatchback,6,7,Yes,2.0,Yes,Low,No
EV03250,65,Male,93585.0,Suburban,39.5,2,SUV,0,8,Yes,5.0,No,Low,No
EV03251,44,Female,82670.0,Rural,27.9,3,Sedan,2,1,Yes,3.0,Yes,Low,No
EV03252,46,Male,75512.0,Suburban,49.7,2,Hatchback,4,9,No,1.0,Yes,Medium,No
EV03253,41,Male,163926.0,Urban,13.2,3,SUV,12,6,No,2.0,No,Low,No
EV03254,45,Male,90830.0,Suburban,23.6,2,Hatchback,1,5,Yes,5.0,Yes,Low,Yes
EV03255,59,Male,98546.0,Urban,21.2,1,Sedan,3,5,No,5.0,Yes,Low,Yes
EV03256,27,Female,120287.0,Suburban,53.7,2,Sedan,3,4,Yes,4.0,No,Low,No
EV03257,67,Male,61175.0,Urban,64.3,3,Truck,2,4,Yes,5.0,Yes,Low,No
EV03258,45,Male,102429.0,Urban,37.4,2,Sedan,4,7,Yes,5.0,No,Low,No
EV03259,41,Male,130030.0,Suburban,31.0,1,SUV,0,4,Yes,4.0,No,Low,No
EV03260,66,Female,69804.0,Suburban,28.2,4,Sedan,2,2,Yes,1.0,No,Low,No
EV03261,51,Male,141069.0,Suburban,34.5,2,Sedan,5,5,Yes,2.0,Yes,Low,No
EV03262,69,Male,75980.0,Suburban,8.7,2,Sedan,7,7,Yes,3.0,No,Low,No
EV03263,27,Male,51583.0,Urban,15.7,3,SUV,9,3,No,5.0,No,Medium,No
EV03264,28,Male,105539.0,Suburban,53.1,1,SUV,7,6,No,3.0,Yes,Medium,No
EV03265,47,Male,63889.0,Rural,20.9,2,SUV,0,3,Yes,2.0,No,Low,No
EV03266,45,Male,52997.0,Urban,67.4,4,Hatchback,11,9,No,1.0,Yes,Medium,No
EV03267,28,Female,143206.0,Suburban,47.4,2,Sedan,4,5,Yes,5.0,Yes,Low,Yes
EV03268,65,Male,30000.0,Urban,42.6,3,SUV,7,7,Yes,2.0,Yes,Low,No
EV03269,51,Male,30000.0,Urban,55.7,1,Hatchback,14,5,Yes,1.0,Yes,Low,No
EV03270,32,Female,74898.0,Rural,34.6,3,Sedan,1,2,Yes,2.0,No,Low,No
EV03271,69,Female,124429.0,Urban,30.9,1,Truck,2,6,Yes,3.0,No,Low,No
EV03272,57,Female,89948.0,Rural,40.2,3,Hatchback,1,3,Yes,2.0,No,Low,No
EV03273,53,Male,119892.0,Suburban,15.9,1,Sedan,4,8,Yes,1.0,No,Low,No
EV03274,42,Female,119963.0,Suburban,35.0,2,SUV,0,5,Yes,5.0,No,Low,No
EV03275,33,Female,117631.0,Suburban,41.0,1,SUV,0,5,Yes,3.0,Yes,Low,No
EV03276,43,Male,30000.0,Suburban,18.4,4,SUV,7,7,Yes,5.0,No,Low,No
EV03277,63,Male,77400.0,Suburban,,2,SUV,4,8,Yes,2.0,No,Low,No
EV03278,62,Male,126595.0,Suburban,58.6,2,SUV,2,7,Yes,2.0,Yes,Low,No
EV03279,32,Female,80054.0,Rural,79.7,1,SUV,1,1,Yes,5.0,Yes,Low,Yes
EV03280,63,Male,126994.0,Urban,13.6,3,Sedan,4,6,Yes,4.0,Yes,Low,Yes
EV03281,34,Male,106635.0,Suburban,50.8,2,Sedan,2,7,Yes,4.0,Yes,Low,Yes
EV03282,39,Male,47973.0,Urban,42.6,2,Sedan,14,7,No,1.0,No,Low,No
EV03283,44,Female,104262.0,Urban,68.3,2,Sedan,4,10,No,5.0,No,Medium,No
EV03284,25,Male,94282.0,Urban,24.5,3,Hatchback,10,4,No,5.0,Yes,Medium,No
EV03285,30,Male,30000.0,Suburban,28.8,1,SUV,6,5,Yes,1.0,No,Low,No
EV03286,49,Male,123852.0,Suburban,24.5,2,SUV,7,7,Yes,5.0,Yes,Low,No
EV03287,47,Male,40100.0,Rural,15.7,1,SUV,1,3,Yes,5.0,No,Low,No
EV03288,61,Male,163870.0,Suburban,22.3,1,Truck,1,6,Yes,4.0,Yes,Low,Yes
EV03289,64,Male,51561.0,Suburban,53.5,2,SUV,0,2,Yes,2.0,No,Low,No
EV03290,58,Female,138387.0,Urban,31.5,1,Hatchback,4,12,Yes,1.0,Yes,Low,Yes
EV03291,68,Male,30000.0,Urban,25.8,2,Sedan,11,15,No,2.0,No,Low,No
EV03292,39,Male,111622.0,Urban,77.0,2,Truck,11,11,Yes,1.0,Yes,Low,No
EV03293,68,Male,147529.0,Rural,61.5,1,Truck,0,3,Yes,5.0,No,Low,No
EV03294,41,Male,135478.0,Urban,45.0,1,SUV,3,14,No,2.0,Yes,Low,No
EV03295,37,Male,85878.0,Rural,19.8,2,Hatchback,2,0,Yes,4.0,Yes,Low,No
EV03296,45,Male,50799.0,Rural,30.1,4,Sedan,0,1,Yes,3.0,Yes,Low,No
